Product,Customer,Qtr 1,Qtr 2,Qtr 3,Qtr 4
Alice Mutton,ANTON,$0.00,$702.00,$0.00,$0.00
Alice Mutton,BERGS,$312.00,$0.00,$0.00,$0.00
Alice Mutton,BOLID,$0.00,$0.00,$0.00,"$1,170.00"
Alice Mutton,BOTTM,"$1,170.00",$0.00,$0.00,$0.00
Alice Mutton,ERNSH,"$1,123.20",$0.00,$0.00,"$2,607.15"
Alice Mutton,GODOS,$0.00,$280.80,$0.00,$0.00
Alice Mutton,HUNGC,$62.40,$0.00,$0.00,$0.00
Alice Mutton,PICCO,$0.00,"$1,560.00",$936.00,$0.00
Alice Mutton,RATTC,$0.00,$592.80,$0.00,$0.00
Alice Mutton,REGGC,$0.00,$0.00,$0.00,$741.00
Alice Mutton,SAVEA,$0.00,$0.00,"$3,900.00",$789.75
Alice Mutton,SEVES,$0.00,$877.50,$0.00,$0.00
Alice Mutton,WHITC,$0.00,$0.00,$0.00,$780.00
Aniseed Syrup,ALFKI,$0.00,$0.00,$0.00,$60.00
Aniseed Syrup,BOTTM,$0.00,$0.00,$0.00,$200.00
Aniseed Syrup,ERNSH,$0.00,$0.00,$0.00,$180.00
Aniseed Syrup,LINOD,$544.00,$0.00,$0.00,$0.00
Aniseed Syrup,QUICK,$0.00,$600.00,$0.00,$0.00
Aniseed Syrup,VAFFE,$0.00,$0.00,$140.00,$0.00
Boston Crab Meat,ANTON,$0.00,$165.60,$0.00,$0.00
Boston Crab Meat,BERGS,$0.00,$920.00,$0.00,$0.00
Boston Crab Meat,BONAP,$0.00,$248.40,$524.40,$0.00
Boston Crab Meat,BOTTM,$551.25,$0.00,$0.00,$0.00
Boston Crab Meat,BSBEV,$147.00,$0.00,$0.00,$0.00
Boston Crab Meat,FRANS,$0.00,$0.00,$0.00,$18.40
Boston Crab Meat,HILAA,$0.00,$92.00,"$1,104.00",$0.00
Boston Crab Meat,LAZYK,$147.00,$0.00,$0.00,$0.00
Boston Crab Meat,LEHMS,$0.00,$515.20,$0.00,$0.00
Boston Crab Meat,MAGAA,$0.00,$0.00,$0.00,$55.20
Boston Crab Meat,OTTIK,$0.00,$0.00,$368.00,$0.00
Boston Crab Meat,PERIC,$308.70,$0.00,$0.00,$0.00
Boston Crab Meat,QUEEN,$26.46,$0.00,$419.52,$110.40
Boston Crab Meat,QUICK,$0.00,$0.00,"$1,223.60",$0.00
Boston Crab Meat,RANCH,$294.00,$0.00,$0.00,$0.00
Boston Crab Meat,SAVEA,$0.00,$0.00,$772.80,$736.00
Boston Crab Meat,TRAIH,$0.00,$36.80,$0.00,$0.00
Boston Crab Meat,VAFFE,$294.00,$0.00,$0.00,$736.00
Camembert Pierrot,ANATR,$0.00,$0.00,$340.00,$0.00
Camembert Pierrot,AROUT,$0.00,$0.00,$0.00,$510.00
Camembert Pierrot,BERGS,$0.00,$0.00,$680.00,$0.00
Camembert Pierrot,BOTTM,$0.00,$0.00,$0.00,"$1,700.00"
Camembert Pierrot,CHOPS,$0.00,$323.00,$0.00,$0.00
Camembert Pierrot,FAMIA,$0.00,$346.80,$0.00,$0.00
